Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	2a5914c5-2b8b-4932-84dc-6bf33d939942
Plate Name	NADguanosineplate
Measurement	Measurement 1
Evaluation	Evaluation2
Population	Population - full nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - Intensity Nucleus Alexa 488 Mean	full nuclei -  Area [µm²]	full nuclei -  Roundness	full nuclei -  Width [µm]	full nuclei -  Length [µm]	full nuclei -  Ratio Width to Length	full nuclei - Number of Spots H2AX- per Cell 	
2	2	1	0	11	6	779	736	[755,710,806,760]	1362.97	1233.13					6	802	0.0441901	29	0.0142717	12911.5	180.163	0.945196	12.8832	17.0324	0.756391	29	
2	2	1	0	12	1	178	197	[148,177,215,219]	1507.78	1393.72					1	467	0.0136499	19	0.00836636	6540.27	201.353	0.886527	11.7002	20.444	0.572307	19	
2	2	1	0	12	2	428	341	[403,318,453,400]	1580.94	1347.09					2	503	0.0176834	18	0.00659582	4944.24	241.96	0.764483	11.7002	25.28	0.462824	18	
2	2	1	0	12	3	44	248	[15,209,73,276]	1466.83	1378.95					3	720	0.0388688	20	0.0076365	6680.56	232.207	0.890138	13.5931	20.1535	0.674479	20	
2	2	1	0	12	4	833	247	[812,224,855,273]	1702.44	1377.8					4	728	0.0414656	23	0.0134818	3432.85	151.258	0.931423	11.9254	14.6661	0.813124	23	
2	2	1	0	12	5	571	265	[506,230,595,288]	1620.87	1372.8					5	902	0.0291206	29	0.0104279	4172.83	246.571	0.652121	11.4397	27.24	0.419959	29	
2	2	1	0	12	6	330	285	[305,244,353,313]	1552.31	1368.52					6	734	0.0436605	23	0.00860456	5112.11	236.995	0.873137	12.633	21.657	0.583322	23	
2	2	1	0	12	7	215	414	[170,387,241,442]	1516.45	1328.57					7	688	0.0341403	17	0.00637659	3485.6	236.375	0.866497	13.3828	21.2437	0.629966	17	
2	2	1	0	12	8	301	472	[268,443,332,502]	1543.7	1312.34					8	435	0.00848674	14	0.004914	3823.31	252.6	0.894838	15.218	19.1774	0.793537	14	
2	2	1	0	12	9	810	758	[788,734,833,794]	1695.2	1224.73					9	667	0.0226316	28	0.0138408	4272.96	179.365	0.928805	11.7305	18.4709	0.63508	28	
