Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	7565033a-ea03-4f4b-8fc5-eb1516bb4f87
Plate Name	rech2ax53bp1270224
Measurement	Measurement 1
Evaluation	Evaluation5
Population	Population - Nuclei Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Nucleus Area [µm²]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Intensity Nucleus Alexa 488 Mean	Nuclei Selected - Intensity Nucleus DAPI Mean	Nuclei Selected - Intensity Ring Region DAPI Mean	Nuclei Selected - Total Spot Area	Nuclei Selected - Relative Spot Intensity	Nuclei Selected - Number of Spots	Nuclei Selected - Number of Spots per Area of Nucleus	Nuclei Selected - Total Spot Area (2)	Nuclei Selected - Relative Spot Intensity (2)	Nuclei Selected - Number of Spots (2)	Nuclei Selected - Number of Spots per Area of Nucleus (2)	
5	2	0	40	25	546	836	[510,806,582,866]	-203.6	-465.79					31	121.324	0.988312	0.816732	1737.52	5721	1315.85	337	0.0228632	6	0.0017508	398	0.0160216	9	0.0026262	
5	2	0	40	26	348	882	[316,856,393,910]	-239.75	-474.68					32	115.73	0.939747	0.632095	1567.76	6374.57	1139.25	613	0.0366508	20	0.00611808	510	0.0202569	22	0.00672989	
5	2	0	40	27	465	1008	[420,978,504,1040]	-219.71	-498.19					34	138.246	0.940318	0.597481	1904.88	5052.28	993.489	492	0.00613891	16	0.00409731	306	0.00501307	13	0.00332907	
5	2	0	40	28	223	39	[188,4,266,77]	-264.08	-315.99					39	152.478	0.938831	0.788199	1744.25	5111.15	1633.44	448	0.0456234	14	0.00325052	507	0.0339762	20	0.0046436	
5	2	0	40	29	120	69	[86,35,155,109]	-283.69	-322					41	137.326	0.994858	0.724684	1452.15	5134.18	1132.49	170	0.002123	8	0.00206239	179	0.00337723	9	0.00232019	
5	2	0	40	30	610	90	[568,48,675,205]	-189.63	-331.9					42	361.068	0.747423	0.473186	1576.5	5037.02	1243.71	826	0.0067846	22	0.00215707	1467	0.0182292	46	0.00451025	
5	2	0	40	31	533	308	[497,273,570,356]	-206.43	-367.38					43	163.983	0.998427	0.75114	1608.42	4421.91	1002.97	407	0.0294169	11	0.00237478	870	0.0251913	31	0.00669257	
5	2	0	40	32	247	355	[213,318,282,398]	-259.87	-375.97					44	150.778	0.992966	0.719879	1587.17	4703.14	1045.91	214	0.0416488	5	0.00117398	260	0.0339313	9	0.00211317	
5	2	0	40	33	105	357	[71,325,155,394]	-285.34	-376.29					45	151.486	0.969676	0.670202	1475.09	4799.08	1055.13	95	0.00162408	3	0.000701098	105	0.00202413	6	0.0014022	
5	2	0	40	34	174	550	[135,511,211,593]	-273.9	-412.29					46	174.002	0.962869	0.816658	2033.01	8264.18	1851.46	280	0.00271147	7	0.00142421	568	0.0109576	19	0.00386572	
5	2	0	40	35	801	590	[765,555,836,629]	-155.71	-419.94					47	148.194	0.988596	0.847757	1250.91	4662.75	1118.19	323	0.0194678	9	0.00215002	648	0.046973	21	0.00501672	
5	2	0	40	36	266	629	[225,592,317,667]	-255.76	-426.73					48	182.888	0.944549	0.751429	1418.98	9101.25	2129.45	0	0	0	0	1063	0.0116272	15	0.0029036	
5	2	0	40	37	699	770	[643,727,743,853]	-176.49	-456.97					49	283.431	0.831006	0.491982	1759.48	4823.05	1570.34	225	0.0148624	2	0.000249813	229	0.00709779	4	0.000499625	
5	2	0	40	38	83	1033	[34,992,128,1077]	-291.4	-503.18					50	204.484	0.885844	0.640298	1710.38	6257.04	1776.8	161	0.00074258	7	0.00121191	393	0.00634162	15	0.00259695	
